sample	path	BTau_norm	TTau_norm	BTau	TTau	totalCounts	name
1919_TCX		0.35073482155230523	451.4076046538017	59	75935	168218256	1919_TCX.snap.bam
11426_TCX		0.46723286568307293	302.6601008790465	70	45344	149818228	11426_TCX.snap.bam
11463_TCX		0.2666587295484183	397.41039327032604	21	31297	78752344	11463_TCX.snap.bam
11281_TCX		0.3927509030699187	471.57226883126026	42	50429	106938010	11281_TCX.snap.bam
11323_TCX		0.6465113050653355	362.09317948188243	69	38645	106726672	11323_TCX.snap.bam
6976_TCX		0.7444154903131663	359.707011861934	82	39623	110153538	6976_TCX.snap.bam
11457_TCX		0.3509105954496621	421.2180397522551	42	50415	119688606	11457_TCX.snap.bam
149_TCX		0.5754657958689826	298.965137727934	81	42081	140755542	149_TCX.snap.bam
11465_TCX		0.6786832584188831	296.0951488869229	104	45373	153237904	11465_TCX.snap.bam
11331_TCX		1.2397765942152643	245.08425725644912	152	30048	122602734	11331_TCX.snap.bam
1302_TCX		0.2671398739405624	415.0064000265592	29	45052	108557362	1302_TCX.snap.bam
141_TCX		0.5266296653738055	294.5944405198344	48	26851	91145644	141_TCX.snap.bam
1952_TCX		0.1438941013088147	353.09693873165673	15	36808	104243328	1952_TCX.snap.bam
1103_TCX		0.716370079038635	381.4670670880731	94	50055	131217094	1103_TCX.snap.bam
1010_TCX		0.4752595050564344	329.5033555994392	48	33279	100997454	1010_TCX.snap.bam
11393_TCX		0.23060129094446025	324.0428557125801	24	33725	104075740	11393_TCX.snap.bam
11295_TCX		0.8801623723544519	307.46720698723817	103	35981	117023862	11295_TCX.snap.bam
6821_TCX		1.0037340424632808	378.8294710012885	119	44913	118557302	6821_TCX.snap.bam
11480_TCX		1.144639969642098	437.0645424381163	134	51166	117067378	11480_TCX.snap.bam
11258_TCX		0.6954680865343121	424.50599259736043	72	43948	103527396	11258_TCX.snap.bam
783_TCX		0.2974386723099111	146.37948526611757	30	14764	100861128	783_TCX.snap.bam
11485_TCX		0.4222767570151631	150.39085074840023	49	17451	116037644	11485_TCX.snap.bam
1929_TCX		0.34112144948810025	362.5475643154069	37	39324	108465768	1929_TCX.snap.bam
731_TCX		0.4910564734397847	391.1736980633885	52	41423	105894134	731_TCX.snap.bam
1085_TCX		0.6233986860745268	349.5608653649174	94	52709	150786330	1085_TCX.snap.bam
1200_TCX		0.3023394065873609	296.72933093179546	36	35332	119071478	1200_TCX.snap.bam
11325_TCX		0.5523115043682317	242.06538671449513	65	28488	117687210	11325_TCX.snap.bam
6819_TCX		0.7655628333739053	371.2979741863441	90	43650	117560566	6819_TCX.snap.bam
11374_TCX		0.48296500640340767	485.6696104392667	75	75420	155290754	11374_TCX.snap.bam
1941_TCX		0.5360528222162589	302.53927864515293	60	33863	111929268	1941_TCX.snap.bam
129_TCX		0.6800520518641017	328.69465861786523	80	38667	117638054	1129_TCX.snap.bam
11449_TCX		0.6049367813808063	377.82622974241224	91	56836	150428942	11449_TCX.snap.bam
