sample	path	BTau_norm	TTau_norm	BTau	TTau	totalCounts	name
1200_CER.FCC7DRJACXX_L6IGGCTAC		4.015843987303075	271.07719191985626	520	35101	129487102	1200_CER.FCC7DRJACXX_L6IGGCTAC.snap.bam
11374_CER.FCC7KRCACXX_L4IACTGAT		1.1876651259410897	347.09939501247703	209	61081	175975530	11374_CER.FCC7KRCACXX_L4IACTGAT.snap.bam
11426_CER.FCC7E15ACXX_L8IGAGTGG		1.6474501316013117	306.60877449246635	198	36850	120185732	11426_CER.FCC7E15ACXX_L8IGAGTGG.snap.bam
7000_CER.FCC79ALACXX_L8IGTTTCG		1.7258564823041633	211.20282846144443	189	23129	109510844	7000_CER.FCC79ALACXX_L8IGTTTCG.snap.bam
894_CER.FCC7DRJACXX_L2ITAGCTT		2.177200133832571	294.8887892459581	277	37518	127227624	894_CER.FCC7DRJACXX_L2ITAGCTT.snap.bam
744_CER.FCC79ETACXX_L6ITAGCTT		2.94791572713196	287.6590167190535	379	36983	128565412	744_CER.FCC79ETACXX_L6ITAGCTT.snap.bam
849_CER.FCC7DJAACXX_L5IACTTGA		2.3087049837292457	322.2292527290676	259	36149	112184104	849_CER.FCC7DJAACXX_L5IACTTGA.snap.bam
1019_CER.FCC7BR1ACXX_L7IGTGGCC		2.2325165212734084	240.84202188454088	240	25891	107502004	1019_CER.FCC7BR1ACXX_L7IGTGGCC.snap.bam
11320_CER.FCC79ETACXX_L1IATCACG		2.734011020164298	378.6449330740091	263	36424	96195662	11320_CER.FCC79ETACXX_L1IATCACG.snap.bam
11353_CER.FCC7DJAACXX_L8IACTGAT		2.464165849097246	340.05488717541994	314	43332	127426488	11353_CER.FCC7DJAACXX_L8IACTGAT.snap.bam
1950_CER.FCC7KRCACXX_L8IGAGTGG		1.0871268471548345	270.0591516435689	142	35275	130619532	1950_CER.FCC7KRCACXX_L8IGAGTGG.snap.bam
1183_CER.FCC7E15ACXX_L6ITAGCTT		2.6559041791433406	208.28017185262337	306	23997	115215000	1183_CER.FCC7E15ACXX_L6ITAGCTT.snap.bam
7015_CER.FCC7KUNACXX_L6ITAGCTT		1.7188704448881456	345.3667486555849	286	57465	166388340	7015_CER.FCC7KUNACXX_L6ITAGCTT.snap.bam
11343_CER.FCC7983ACXX_L6ITAGCTT		2.375320908278505	210.30800466276466	245	21692	103143958	11343_CER.FCC7983ACXX_L6ITAGCTT.snap.bam
11427_CER.FCC7E15ACXX_L1IATCACG		2.286109756782597	324.2374953062175	252	35741	110230928	11427_CER.FCC7E15ACXX_L1IATCACG.snap.bam
11396_CER.FCC7KUNACXX_L7IGTTTCG		2.551594234365152	289.540300558621	447	50723	175184594	11396_CER.FCC7KUNACXX_L7IGTTTCG.snap.bam
1955_CER.FCC7DRJACXX_L4IGAGTGG		1.2152717904643306	313.54969100901354	127	32767	104503372	1955_CER.FCC7DRJACXX_L4IGAGTGG.snap.bam
1034_CER.FCC79ETACXX_L6IGGCTAC		3.3509704443099118	332.09751722840156	410	40633	122352616	1034_CER.FCC79ETACXX_L6IGGCTAC.snap.bam
786_CER.FCC7L0WACXX_L6IGGCTAC		1.8426007449634811	312.246377756362	396	67106	214913622	786_CER.FCC7L0WACXX_L6IGGCTAC.snap.bam
11313_CER.FCC7983ACXX_L7IGTGGCC		3.1584750259827072	284.35222755164426	353	31780	111762796	11313_CER.FCC7983ACXX_L7IGTGGCC.snap.bam
11429_CER.FCC7BR1ACXX_L6IGATCAG		1.848620154840045	285.9957581087922	195	30168	105484082	11429_CER.FCC7BR1ACXX_L6IGATCAG.snap.bam
127_CER.FCC7E15ACXX_L5IACTTGA		2.2589828568557095	348.4212130169354	294	45346	130147070	127_CER.FCC7E15ACXX_L5IACTTGA.snap.bam
11506_CER.FCC7BR1ACXX_L5IACTTGA		2.5722271834150576	359.44267901215215	296	41363	115075372	11506_CER.FCC7BR1ACXX_L5IACTTGA.snap.bam
6914_CER.FCC7AFDACXX_L2IGATCAG		3.448081691988824	348.835603370284	369	37331	107016026	6914_CER.FCC7AFDACXX_L2IGATCAG.snap.bam
11495_CER.FCC7AFDACXX_L5ITTAGGC		1.5997031233823444	353.96745906885576	181	40050	113145994	11495_CER.FCC7AFDACXX_L5ITTAGGC.snap.bam
11309_CER.FCC7BR1ACXX_L2ITAGCTT		3.9216896505020946	361.0517674311928	459	42258	117041388	11309_CER.FCC7BR1ACXX_L2ITAGCTT.snap.bam
11377_CER.FCC7LB6ACXX_L5IACTTGA		1.2546309961309747	403.0032823320235	127	40794	101224982	11377_CER.FCC7LB6ACXX_L5IACTTGA.snap.bam
11259_CER.FCC7LB6ACXX_L8IATTCCT		3.5487566784160993	309.57239109587255	423	36900	119196676	11259_CER.FCC7LB6ACXX_L8IATTCCT.snap.bam
11389_CER.FCC7KRCACXX_L3IGTTTCG		2.0113066772473953	207.4583741250684	267	27540	132749522	11389_CER.FCC7KRCACXX_L3IGTTTCG.snap.bam
1919_CER.FCC7983ACXX_L2ITAGCTT		1.2621818928543889	348.6814602007098	170	46963	134687402	1919_CER.FCC7983ACXX_L2ITAGCTT.snap.bam
966_CER.FCC7DJAACXX_L7IGTGGCC		2.7416291344369266	371.87519712740647	353	47881	128755562	966_CER.FCC7DJAACXX_L7IGTGGCC.snap.bam
896_CER.FCC7BR1ACXX_L7ICGTACG		4.4135819267899885	265.77922762501726	476	28664	107848910	896_CER.FCC7BR1ACXX_L7ICGTACG.snap.bam
11254_CER.FCC7E15ACXX_L1IACTTGA		4.647367598636695	439.35038996190895	467	44149	100486994	11254_CER.FCC7E15ACXX_L1IACTTGA.snap.bam
11326_CER.FCC7AFDACXX_L6IGATCAG		3.2102688653679228	167.531447704631	360	18787	112140140	11326_CER.FCC7AFDACXX_L6IGATCAG.snap.bam
11337_CER.FCC7DRJACXX_L1IATCACG		1.7103978751971538	188.20485191008683	168	18486	98222760	11337_CER.FCC7DRJACXX_L1IATCACG.snap.bam
746_CER.FCC79ETACXX_L3IGTGGCC		2.7502708971598984	269.2913273844129	304	29766	110534566	746_CER.FCC79ETACXX_L3IGTGGCC.snap.bam
11331_CER.FCC7L0WACXX_L4IGAGTGG		2.1034867210286	219.61020040103594	340	35497	161636390	11331_CER.FCC7L0WACXX_L4IGAGTGG.snap.bam
931_CER.FCC7983ACXX_L1IACTTGA		1.738995099182143	283.9836688744981	211	34457	121334442	931_CER.FCC7983ACXX_L1IACTTGA.snap.bam
1932_CER.FCC7LB6ACXX_L2IGGCTAC		0.49460058224801484	182.72860659903253	47	17364	95026172	1932_CER.FCC7LB6ACXX_L2IGGCTAC.snap.bam
1103_CER.FCC7KRCACXX_L5IATCACG		3.889708969196561	325.4265167401854	728	60907	187160532	1103_CER.FCC7KRCACXX_L5IATCACG.snap.bam
952_CER.FCC7LB6ACXX_L3ICGTACG		4.534049613173125	297.3722915466855	532	34892	117334402	952_CER.FCC7LB6ACXX_L3ICGTACG.snap.bam
11404_CER.FCC79ETACXX_L3ICGTACG		3.7051435227284295	299.59824516924493	436	35255	117674254	11404_CER.FCC79ETACXX_L3ICGTACG.snap.bam
791_CER.FCC7L0WACXX_L1ITTAGGC		1.900370754160499	259.6356000254118	372	50824	195751276	791_CER.FCC7L0WACXX_L1ITTAGGC.snap.bam
11329_CER.FCC7DRJACXX_L8IACTGAT		2.855780219776799	380.565785309602	367	48907	128511290	11329_CER.FCC7DRJACXX_L8IACTGAT.snap.bam
11391_CER.FCC7KUNACXX_L2ITAGCTT		1.3963576597320848	233.98097480901976	207	34686	148242822	11391_CER.FCC7KUNACXX_L2ITAGCTT.snap.bam
1937_CER.FCC7BR1ACXX_L1IACTTGA		1.238032733443983	288.3997252557758	140	32613	113082632	1937_CER.FCC7BR1ACXX_L1IACTTGA.snap.bam
11255_CER.FCC7L2YACXX_L8IGATCAG		1.8517992618191579	264.06133996718063	283	40355	152824340	11255_CER.FCC7L2YACXX_L8IGATCAG.snap.bam
6952_CER.FCC7BR1ACXX_L8IGAGTGG		4.234985614750334	297.8458265231028	476	33477	112397076	6952_CER.FCC7BR1ACXX_L8IGAGTGG.snap.bam
1085_CER.FCC79ETACXX_L1IACTTGA		2.1626964904084747	279.84349353771466	321	41536	148425820	1085_CER.FCC79ETACXX_L1IACTTGA.snap.bam
149_CER.FCC7983ACXX_L6IGATCAG		1.8482477873696563	281.0952591151491	183	27832	99012698	149_CER.FCC7983ACXX_L6IGATCAG.snap.bam
1045_CER.FCC7KUNACXX_L2IGGCTAC		1.6905382332648147	308.4003470384548	227	41411	134276762	1045_CER.FCC7KUNACXX_L2IGGCTAC.snap.bam
1282_CER.FCC7DRJACXX_L5IATCACG		1.3346284345223864	252.4699926730567	160	30267	119883554	1282_CER.FCC7DRJACXX_L5IATCACG.snap.bam
11447_CER.FCC7KRCACXX_L2IGGCTAC		3.139450817363495	388.0959200893159	462	57112	147159496	11447_CER.FCC7KRCACXX_L2IGGCTAC.snap.bam
1098_CER.FCC7983ACXX_L4IACTGAT		1.0003572199975344	290.5995692276871	119	34569	118957506	1098_CER.FCC7983ACXX_L4IACTGAT.snap.bam
11438_CER.FCC7DRJACXX_L1ITTAGGC		1.1058806855498309	302.3442686969887	126	34448	113936342	11438_CER.FCC7DRJACXX_L1ITTAGGC.snap.bam
11355_CER.FCC7DRJACXX_L7IGTTTCG		1.2012449952740372	335.3891627389466	154	42997	128200326	11355_CER.FCC7DRJACXX_L7IGTTTCG.snap.bam
719_CER.FCC7DRJACXX_L3IGTTTCG		1.6493392215800813	268.3903107347164	208	33847	126111110	719_CER.FCC7DRJACXX_L3IGTTTCG.snap.bam
11499_CER.FCC7AFDACXX_L2IGGCTAC		0.7596839188183532	338.21128065793084	75	33390	98725270	11499_CER.FCC7AFDACXX_L2IGGCTAC.snap.bam
11298_CER.FCC7DRJACXX_L8IATTCCT		3.351270717276302	369.2860953958679	420	46281	125325596	11298_CER.FCC7DRJACXX_L8IATTCCT.snap.bam
1941_CER.FCC7BR1ACXX_L3ICGTACG		1.3543265438891678	296.4554508868443	143	31302	105587534	1941_CER.FCC7BR1ACXX_L3ICGTACG.snap.bam
11463_CER.FCC7E15ACXX_L1ITTAGGC		0.9584120448610534	286.2209174750097	103	30760	107469434	11463_CER.FCC7E15ACXX_L1ITTAGGC.snap.bam
1923_CER.FCC7983ACXX_L8IGAGTGG		0.05826708446755878	197.81675176736206	6	20370	102974090	1923_CER.FCC7983ACXX_L8IGAGTGG.snap.bam
11358_CER.FCC7983ACXX_L1ITTAGGC		2.5073160156221426	288.0897115154087	279	32057	111274366	11358_CER.FCC7983ACXX_L1ITTAGGC.snap.bam
11386_CER.FCC7LB6ACXX_L4IGAGTGG		0.5297235849361445	12.75750967054548	12	289	22653324	11386_CER.FCC7LB6ACXX_L4IGAGTGG.snap.bam
11494_CER.FCC7KUNACXX_L1IACTTGA		1.5305567805277203	434.3801411639291	226	64140	147658684	11494_CER.FCC7KUNACXX_L1IACTTGA.snap.bam
11449_CER.FCC7L0WACXX_L5IATCACG		4.492672686890031	285.7607343522925	571	36319	127095838	11449_CER.FCC7L0WACXX_L5IATCACG.snap.bam
11383_CER.FCC79ALACXX_L8ICGTACG		4.843995122360172	437.95376009132195	736	66543	151940698	11383_CER.FCC79ALACXX_L8ICGTACG.snap.bam
11483_CER.FCC79ETACXX_L4IACTGAT		1.1557237473526702	297.12297869440266	136	34964	117675180	11483_CER.FCC79ETACXX_L4IACTGAT.snap.bam
11475_CER.FCC7E15ACXX_L3ICGTACG		2.23591628401617	286.79412256534107	251	32195	112258228	11475_CER.FCC7E15ACXX_L3ICGTACG.snap.bam
11445_CER.FCC7KKVACXX_L4IACTGAT		3.475725540722967	274.0056632524035	440	34687	126592274	11445_CER.FCC7KKVACXX_L4IACTGAT.snap.bam
11332_CER.FCC7E15ACXX_L4IGAGTGG		1.7694873182303275	269.3360361856873	194	29529	109636276	11332_CER.FCC7E15ACXX_L4IGAGTGG.snap.bam
11300_CER.FCC7L0WACXX_L7IGTTTCG		2.353946054281996	318.1974602043001	420	56774	178423800	11300_CER.FCC7L0WACXX_L7IGTTTCG.snap.bam
1137_CER.FCC79ALACXX_L8IGTGGCC		1.0306779275641627	305.2880985947283	159	47096	154267396	1137_CER.FCC79ALACXX_L8IGTGGCC.snap.bam
11425_CER.FCC7KUNACXX_L7IGTGGCC		1.9887432811870829	342.8593416766531	350	60340	175990538	11425_CER.FCC7KUNACXX_L7IGTGGCC.snap.bam
6821_CER.FCC7KKVACXX_L8IATTCCT		3.142714216046717	266.3417424519927	478	40510	152097826	6821_CER.FCC7KKVACXX_L8IATTCCT.snap.bam
11416_CER.FCC7983ACXX_L1IATCACG		2.079013459164702	307.10625397424917	237	35009	113996376	11416_CER.FCC7983ACXX_L1IATCACG.snap.bam
783_CER.FCC7KRCACXX_L8IATTCCT		2.045297764637048	300.0809177581055	269	39467	131521192	783_CER.FCC7KRCACXX_L8IATTCCT.snap.bam
1944_CER.FCC7KKVACXX_L3ICGTACG		1.2693027301080688	234.40045296061956	166	30655	130780464	1944_CER.FCC7KKVACXX_L3ICGTACG.snap.bam
11456_CER.FCC7KRCACXX_L6ITAGCTT		1.2615186518637955	333.15090264117885	195	51497	154575598	11456_CER.FCC7KRCACXX_L6ITAGCTT.snap.bam
11294_CER.FCC7BR1ACXX_L5IATCACG		1.3284451983348307	283.5863749770476	163	34796	122699830	11294_CER.FCC7BR1ACXX_L5IATCACG.snap.bam
732_CER.FCC7BMUACXX_L8IGAGTGG		3.1308967747507896	316.8198211594057	465	47054	148519748	732_CER.FCC7BMUACXX_L8IGAGTGG.snap.bam
11423_CER.FCC7AFDACXX_L1IATCACG		2.425959142405322	194.4274724732554	249	19956	102639816	11423_CER.FCC7AFDACXX_L1IATCACG.snap.bam
1953_CER.FCC7KKVACXX_L8IGAGTGG		0.4342574482616177	187.91586370504294	48	20771	110533510	1953_CER.FCC7KKVACXX_L8IGAGTGG.snap.bam
11476_CER.FCC7LB6ACXX_L5ITTAGGC		1.8595366873834962	326.53793351991783	226	39686	121535650	11476_CER.FCC7LB6ACXX_L5ITTAGGC.snap.bam
1000_CER.FCC7KUNACXX_L5IATCACG		4.33216802573618	296.554816342199	665	45522	153502818	1000_CER.FCC7KUNACXX_L5IATCACG.snap.bam
1952_CER.FCC7LB6ACXX_L8IGAGTGG		0.6913368103366757	321.47161680655415	69	32085	99806634	1952_CER.FCC7LB6ACXX_L8IGAGTGG.snap.bam
11261_CER.FCC7L0WACXX_L6IGATCAG		2.576843203014318	130.07262507118642	289	14588	112152730	11261_CER.FCC7L0WACXX_L6IGATCAG.snap.bam
11306_CER.FCC7E15ACXX_L5ITTAGGC		0.7162423316973768	244.68076000491502	81	27671	113090216	11306_CER.FCC7E15ACXX_L5ITTAGGC.snap.bam
1078_CER.FCC7DRJACXX_L2IGGCTAC		4.114031382405436	387.8738856664208	602	56757	146328490	1078_CER.FCC7DRJACXX_L2IGGCTAC.snap.bam
1929_CER.FCC7DJAACXX_L8IGAGTGG		0.6141297955039186	311.9707950718569	86	43687	140035544	1929_CER.FCC7DJAACXX_L8IGAGTGG.snap.bam
11394_CER.FCC7LB6ACXX_L8IACTGAT		1.3091763662648481	265.59495922788403	156	31648	119158888	11394_CER.FCC7LB6ACXX_L8IACTGAT.snap.bam
11241_CER.FCC7983ACXX_L6IGGCTAC		1.6018909487213706	304.0526982573051	209	39670	130470804	11241_CER.FCC7983ACXX_L6IGGCTAC.snap.bam
1146_CER.FCC7KRCACXX_L7IGTTTCG		2.9794261077815034	336.8279412617602	468	52908	157077230	1146_CER.FCC7KRCACXX_L7IGTTTCG.snap.bam
1239_CER.FCC7LB6ACXX_L7ICGTACG		2.4273412406613817	288.30447142360396	305	36226	125651884	1239_CER.FCC7LB6ACXX_L7ICGTACG.snap.bam
